Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Todd Gurley II,LAR,RB,16,294,1323,4.5,10,46.24,34,280,1,2,2,13.9,222.3
2,Adrian Peterson,MIN,RB,16,299,1318,4.4,10,42.9,33,231,1,3,3,13.4,214.9
3,David Johnson,ARI,RB,16,233,982,4.2,8,70.2,54,488,3,2,2,13.1,209
4,Ezekiel Elliott,DAL,RB,16,262,1182,4.5,8,51.87,39,311,2,2,2,12.8,205.3
5,Lamar Miller,HOU,RB,16,272,1179,4.3,7,66.72,48,369,2,2,2,12.8,204.8
6,Le'Veon Bell,PIT,RB,16,209,959,4.6,8,70.56,48,411,2,1,1,12.2,195
7,Eddie Lacy,GB,RB,16,235,1067,4.5,8,41.54,31,271,2,2,2,11.9,189.8
8,Doug Martin,TB,RB,16,275,1216,4.4,7,46.72,32,237,1,3,3,11.7,187.3
9,LeSean McCoy,BUF,RB,16,245,1079,4.4,7,50.32,37,283,2,2,2,11.6,186.2
10,Devonta Freeman,ATL,RB,16,213,868,4.1,7,79.65,59,475,2,2,2,11.5,184.3
11,Jamaal Charles,KC,RB,16,194,966,5,7,59.2,40,332,3,3,3,11.5,183.8
11,Mark Ingram II,NO,RB,16,218,971,4.5,8,68,50,367,1,2,2,11.5,183.8
13,CJ Anderson,DEN,RB,16,233,1032,4.4,7,46.53,33,244,1,2,2,10.7,171.6
14,Latavius Murray,LV,RB,16,232,989,4.3,7,45.22,34,239,1,2,2,10.4,166.8
15,Matt Forte,NYJ,RB,16,212,884,4.2,5,66.7,46,388,2,2,2,10.3,165.2
16,Thomas Rawls,SEA,RB,16,223,1031,4.6,7,28.82,22,175,1,2,2,10.3,164.6
17,Carlos Hyde,SF,RB,16,247,1028,4.2,6,43.4,31,202,1,2,2,10.1,161
18,Jeremy Hill,CIN,RB,16,223,954,4.3,8,26,20,142,1,3,3,9.8,157.6
19,DeMarco Murray,TEN,RB,16,212,936,4.4,6,41.6,32,248,1,2,2,9.8,156.4
20,Jonathan Stewart,CAR,RB,16,235,1010,4.3,6,29.19,21,155,1,2,2,9.7,154.5
21,Jeremy Langford,CHI,RB,16,209,799,3.8,5,48.65,35,316,2,1,1,9.5,151.5
22,Ryan Mathews,PHI,RB,16,203,899,4.4,6,38.28,29,213,1,3,3,9.2,147.2
23,Frank Gore,IND,RB,16,211,846,4,6,42.88,32,248,1,3,3,9.1,145.4
24,Melvin Gordon III,LAC,RB,16,228,910,4,5,47.36,32,211,1,3,3,8.9,142.1
25,Giovani Bernard,CIN,RB,16,152,663,4.4,4,64.32,48,417,2,1,1,8.9,142
26,Ameer Abdullah,DET,RB,16,184,803,4.4,5,46.24,34,264,1,2,2,8.7,138.7
27,Rashad Jennings,NYG,RB,16,188,787,4.2,5,42.56,32,258,1,2,2,8.5,136.5
28,Duke Johnson,CLE,RB,16,136,545,4,3,77.52,57,493,2,1,1,8.2,131.8
29,Matt Jones,WAS,RB,16,202,761,3.8,5,38.88,27,254,1,3,3,8.2,131.5
30,Arian Foster,MIA,RB,16,161,653,4.1,4,51.87,39,326,2,2,2,8.1,129.9
31,Danny Woodhead,LAC,RB,16,94,351,3.7,2,97.98,71,604,4,1,1,8.1,129.5
32,LeGarrette Blount,NE,RB,16,196,798,4.1,7,18.07,13,89,0,1,1,8,128.7
33,T.J. Yeldon,JAX,RB,16,163,706,4.3,4,54.76,37,272,1,2,2,7.7,123.8
34,Isaiah Crowell,CLE,RB,16,179,740,4.1,5,27.93,19,161,1,2,2,7.6,122.1
35,Chris Ivory,JAX,RB,16,164,728,4.4,5,31.46,22,156,1,2,2,7.5,120.4
36,Charles Sims,TB,RB,16,105,452,4.3,2,72.93,51,463,2,1,1,7.1,113.5
37,DeAngelo Williams,PIT,RB,16,128,584,4.6,4,31.68,22,181,1,1,1,6.5,104.5
38,Justin Forsett,BAL,RB,16,127,582,4.6,4,35.36,26,162,1,1,1,6.4,102.4
39,Derrick Henry,TEN,RB,16,141,601,4.3,4,23.84,16,134,1,2,2,6.2,99.5
40,Shane Vereen,NYG,RB,16,62,263,4.2,2,72.08,53,450,3,1,1,6.2,99.3
41,Theo Riddick,DET,RB,16,59,235,4,1,90.28,61,507,3,1,1,6,96.2
42,Jay Ajayi,MIA,RB,16,137,546,4,3,30.36,22,182,1,1,1,5.9,94.8
43,Tevin Coleman,ATL,RB,16,118,523,4.4,4,29.48,22,146,1,2,2,5.8,92.9
44,Bilal Powell,NYJ,RB,16,119,456,3.8,2,53.65,37,301,1,1,1,5.7,91.7
45,James Starks,GB,RB,16,119,474,4,3,34.58,26,201,1,1,1,5.6,89.5
46,Darren Sproles,PHI,RB,16,67,279,4.2,2,69.12,48,371,2,1,1,5.4,87
47,Devontae Booker,DEN,RB,16,130,535,4.1,3,28.8,20,148,0,1,1,5.3,84.3
48,Spencer Ware,KC,RB,16,102,444,4.4,5,19.46,14,76,0,1,1,5,80
49,Dion Lewis,NE,RB,16,57,256,4.5,2,48.96,34,306,2,1,1,4.9,78.2
50,Jerick McKinnon,MIN,RB,16,77,360,4.7,2,41.72,28,215,1,1,1,4.6,73.5
51,Terrance West,BAL,RB,16,125,490,3.9,3,23.04,16,101,0,2,2,4.6,73.1
52,DeAndre Washington,LV,RB,16,92,366,4,2,34.84,26,198,1,1,1,4.5,72.4
53,Shaun Draughn,SF,RB,16,90,334,3.7,2,43.5,30,200,1,1,1,4.3,69.4
54,Chris Thompson,WAS,RB,16,54,224,4.1,1,54.8,40,308,2,1,1,4.3,69.2
55,Alfred Morris,DAL,RB,16,93,478,5.1,3,8.04,6,53,0,1,1,4.3,69.1
56,Jordan Howard,CHI,RB,16,90,370,4.1,3,16.44,12,96,1,1,1,4.3,68.6
57,Javorius Allen,BAL,RB,16,85,331,3.9,2,37.26,27,210,1,2,2,4.3,68.1
